dream_vals,login_vals,time_vals,gt_vals,earnings_vals,total_time,strats
0,4,1860,3,591012.6000001346,7440,stocked
0,4,1860,3,1516840.7999999998,7440,unstocked
0,4,2160,1,677224.0,8640,stocked
0,4,2160,1,524768.0,8640,unstocked
0,4,2160,2,881718.1999997963,8640,stocked
0,4,2160,2,499254.80000000005,8640,unstocked
0,4,2160,3,1033201.4000002287,8640,stocked
0,4,2160,3,750287.6,8640,unstocked
0,4,2460,1,783456.0,9840,stocked
0,4,2460,1,780080.0,9840,unstocked
0,4,2460,2,1453993.2000001532,9840,stocked
0,4,2460,2,218411.6,9840,unstocked
0,4,2460,3,1867024.999999609,9840,stocked
0,4,2460,3,978627.0,9840,unstocked
0,4,2760,1,1223484.0,11040,stocked
0,4,2760,1,1304848.0,11040,unstocked
0,4,2760,2,499052.3999998238,11040,stocked
0,4,2760,2,858087.9999999999,11040,unstocked
0,4,2760,3,37204.80000000737,11040,stocked
0,4,2760,3,293608.8,11040,unstocked
0,4,3060,1,830138.0,12240,stocked
0,4,3060,1,1106292.0,12240,unstocked
0,4,3060,2,1354188.000000198,12240,stocked
0,4,3060,2,998509.6,12240,unstocked
0,4,3060,3,1822998.3999995876,12240,stocked
0,4,3060,3,1206966.4,12240,unstocked
0,4,3360,1,1260068.0,13440,stocked
0,4,3360,1,1177192.0,13440,unstocked
0,4,3360,2,965104.7999998468,13440,stocked
0,4,3360,2,1372901.2000000002,13440,unstocked
0,4,3360,3,1177231.9999996047,13440,stocked
0,4,3360,3,1125431.4,13440,unstocked
0,5,60,1,32340.0,300,stocked
0,5,60,1,0.0,300,unstocked
0,5,60,2,35573.99999999325,300,stocked
0,5,60,2,0.0,300,unstocked
0,5,60,3,37191.00000000737,300,stocked
0,5,60,3,0.0,300,unstocked
0,5,360,1,230860.0,1800,stocked
0,5,360,1,198556.0,1800,unstocked
0,5,360,2,384889.9999999074,1800,stocked
0,5,360,2,280843.2,1800,unstocked
0,5,360,3,259541.19999992964,1800,stocked
0,5,360,3,603483.2,1800,unstocked
0,5,660,1,32340.0,3300,stocked
0,5,660,1,198556.0,3300,unstocked
0,5,660,2,45401.39999999144,3300,stocked
0,5,660,2,717666.3999999999,3300,unstocked
0,5,660,3,37191.00000000737,3300,stocked
0,5,660,3,228339.4,3300,unstocked
0,5,960,1,220084.0,4800,stocked
0,5,960,1,198556.0,4800,unstocked
0,5,960,2,187748.0000000258,4800,stocked
0,5,960,2,436823.19999999995,4800,unstocked
0,5,960,3,37191.00000000737,4800,stocked
0,5,960,3,521948.19999999995,4800,unstocked
0,5,1260,1,624114.0,6300,stocked
0,5,1260,1,198556.0,6300,unstocked
0,5,1260,2,253985.6000000447,6300,stocked
0,5,1260,2,936078.0,6300,unstocked
0,5,1260,3,316130.4000001016,6300,stocked
0,5,1260,3,521948.19999999995,6300,unstocked
0,5,1560,1,413714.0,7800,stocked
0,5,1560,1,1120436.0,7800,unstocked
0,5,1560,2,612581.1999999357,7800,stocked
0,5,1560,2,1014067.9999999999,7800,unstocked
0,5,1560,3,817840.9000002267,7800,stocked
0,5,1560,3,293608.8,7800,unstocked
0,5,1860,1,1363632.0,9300,stocked
0,5,1860,1,921880.0,9300,unstocked
0,5,1860,2,585595.9999997395,9300,stocked
0,5,1860,2,1232479.6,9300,unstocked
0,5,1860,3,726031.8000002299,9300,stocked
0,5,1860,3,1043896.4,9300,unstocked
0,5,2160,1,743148.0,10800,stocked
0,5,2160,1,1503404.0,10800,unstocked
0,5,2160,2,1310038.400000376,10800,stocked
